yGraph
Time (Seconds),y_Estimate (Meters),y_Real (Meters),Data (Meters)
6.050000,-1.036892,-1.030106,-1.036892
6.100000,-1.030106,-1.019997,-1.030106
6.150000,-1.019997,-0.999687,-1.019997
6.200000,-0.999687,-0.971094,-0.999687
6.250000,-0.971094,-0.931165,-0.971094
6.300000,-0.931165,-0.883692,-0.931166
6.350000,-0.883692,-0.830788,-0.883692
6.400000,-0.830788,-0.773174,-0.830788
6.450000,-0.773174,-0.709832,-0.773174
6.500000,-0.709832,-0.641577,-0.709833
6.550000,-0.641577,-0.567545,-0.641577
6.600000,-0.567545,-0.487961,-0.567545
6.650000,-0.487961,-0.403922,-0.487961
6.700000,-0.403922,-0.316850,-0.403922
6.750000,-0.316850,-0.227747,-0.316850
6.800000,-0.227747,-0.137332,-0.227747
6.850000,-0.137332,-0.046271,-0.137332
6.900000,-0.046271,0.044199,-0.046271
6.950000,0.044199,0.133010,0.044198
7.000000,0.133010,0.219247,0.133010
7.050000,0.219247,0.302518,0.219247
7.100000,0.302517,0.382362,0.302517
7.150000,0.382362,0.458348,0.382362
7.200000,0.458348,0.529711,0.458348
7.250000,0.529711,0.595704,0.529711
7.300000,0.595705,0.655799,0.595705
7.350000,0.655799,0.709706,0.655799
7.400000,0.709706,0.756946,0.709707
7.450000,0.756946,0.797642,0.756946
7.500000,0.797642,0.830698,0.797642
7.550000,0.830698,0.855960,0.830698
7.600000,0.855960,0.874205,0.855960
7.650000,0.874205,0.885610,0.874205
7.700000,0.885610,0.889472,0.885610
7.750000,0.889472,0.886745,0.889472
7.800000,0.886745,0.878009,0.886745
7.850000,0.878010,0.860281,0.878010
7.900000,0.860281,0.835274,0.860281
7.950000,0.835274,0.803327,0.835275
8.000000,0.803328,0.764754,0.803328
8.050000,0.764754,0.720374,0.764754
8.100000,0.720373,0.670694,0.720373
8.150001,0.670694,0.615589,0.670695
8.200000,0.615589,0.556264,0.615589
8.250000,0.556264,0.492379,0.556264
8.300000,0.492379,0.424989,0.492379
8.350000,0.424989,0.354273,0.424989
8.400001,0.354272,0.280666,0.354272
8.450000,0.280666,0.205252,0.280666
8.500000,0.205252,0.128792,0.205252
8.550000,0.128792,0.051851,0.128792
8.600000,0.051851,-0.024572,0.051851
8.650001,-0.024572,-0.100125,-0.024571
8.700000,-0.100124,-0.174156,-0.100124
8.750000,-0.174156,-0.245535,-0.174156
8.800000,-0.245535,-0.314262,-0.245535
8.850000,-0.314262,-0.379482,-0.314262
8.900001,-0.379483,-0.440598,-0.379483
8.950000,-0.440599,-0.497577,-0.440599
9.000000,-0.497577,-0.549393,-0.497577
9.050000,-0.549393,-0.596138,-0.549393
9.100000,-0.596138,-0.636820,-0.596138
9.150001,-0.636820,-0.671962,-0.636820
9.200000,-0.671962,-0.701735,-0.671962
9.250000,-0.701735,-0.724205,-0.701735
9.300000,-0.724204,-0.740685,-0.724205
9.350000,-0.740685,-0.751107,-0.740685
9.400001,-0.751107,-0.754884,-0.751107
9.450000,-0.754884,-0.751700,-0.754884
9.500000,-0.751701,-0.743353,-0.751701
9.550000,-0.743353,-0.729741,-0.743353
9.600000,-0.729741,-0.709361,-0.729741
9.650001,-0.709361,-0.683310,-0.709361
9.700000,-0.683310,-0.651143,-0.683310
9.750000,-0.651144,-0.613730,-0.651144
9.800000,-0.613730,-0.570845,-0.613730
9.850000,-0.570846,-0.523892,-0.570846
9.900001,-0.523892,-0.473043,-0.523892
9.950000,-0.473043,-0.418478,-0.473043
10.000000,-0.418478,-0.361307,-0.418478
10.050000,-0.361307,-0.301534,-0.361307
10.100000,-0.301534,-0.239768,-0.301534
10.150001,-0.239768,-0.176084,-0.239768
10.200000,-0.176085,-0.111129,-0.176084
10.250000,-0.111129,-0.045885,-0.111129
10.300000,-0.045885,0.018820,-0.045886
10.350000,0.018820,0.083030,0.018820
10.400001,0.083030,0.145896,0.083030
10.450000,0.145896,0.206713,0.145896
10.500000,0.206712,0.265189,0.206713
10.550000,0.265190,0.320739,0.265190
10.600000,0.320739,0.373024,0.320739
10.650001,0.373024,0.421534,0.373024
10.700000,0.421534,0.466080,0.421534
10.750000,0.466080,0.506332,0.466080
10.800000,0.506332,0.541420,0.506332
10.850000,0.541420,0.571344,0.541420
10.900001,0.571344,0.596334,0.571344
10.950000,0.596334,0.616297,0.596334
11.000000,0.616297,0.631109,0.616297
11.050000,0.631109,0.640451,0.631109
11.100000,0.640451,0.643720,0.640451
11.150001,0.643720,0.641499,0.643720
11.200000,0.641499,0.635824,0.641499
11.250000,0.635824,0.623041,0.635825
11.300000,0.623041,0.604486,0.623041
11.350000,0.604486,0.581405,0.604486
11.400001,0.581405,0.553930,0.581405
11.450000,0.553930,0.522883,0.553930
11.500000,0.522883,0.487263,0.522883
11.550000,0.487264,0.448491,0.487264
11.600000,0.448491,0.405797,0.448491
11.650001,0.405797,0.359671,0.405797
11.700000,0.359671,0.311050,0.359671
11.750000,0.311050,0.259821,0.311051
11.800000,0.259822,0.206836,0.259822
11.850000,0.206836,0.152628,0.206836
11.900001,0.152628,0.097459,0.152628
11.950000,0.097459,0.042152,0.097459
12.000000,0.042152,-0.012915,0.042152
12.050000,-0.012915,-0.067266,-0.012915
12.100000,-0.067266,-0.120056,-0.067266
12.150001,-0.120056,-0.171743,-0.120056
